,stop_name,Ward_name
349,NEILSON RD AT OPP WALKWAY TO BLACKWATER CRES & KESSACK CRT,Scarborough North
350,SHORNCLIFFE RD AT DUNDAS ST WEST,Etobicoke-Lakeshore
351,SLOANE AVE AT TROPHY DR,Don Valley East
352,SHEPPARD AVE WEST AT JANE ST,Humber River-Black Creek
353,NIGHTSTAR RD AT POGONIA ST,Scarborough-Rouge Park
354,MORNINGSIDE AVE AT MILNER AVE,Scarborough-Rouge Park
355,JONES AVE AT QUEEN ST EAST NORTH SIDE,Toronto-Danforth
356,DIXON RD AT ISLINGTON AVE EAST SIDE,Etobicoke Centre
357,GREENWOOD AVE AT DUNDAS ST EAST,Toronto-Danforth
358,KINGSTON RD AT GLEN MANOR DR,Beaches-East York
359,DAVENPORT RD AT DUFFERIN ST,Davenport
360,GERRARD ST EAST AT NORWOOD RD,Beaches-East York
361,HULLMAR DR AT BAMFORD CRES,Humber River-Black Creek
362,KENNEDY RD AT DANCY AVE NORTH SIDE,Scarborough-Agincourt
363,VAN HORNE AVE AT HOBART DR,Don Valley North
364,EGLINTON AVE EAST AT JONESVILLE CRES EAST SIDE,Don Valley East
365,JANE ST AT CHURCH ST,York South-Weston
366,ST CLAIR AVE EAST AT BRIMLEY RD WEST SIDE,Scarborough Southwest
367,ST CLAIR AVE EAST AT CLIFTON RD,University-Rosedale
368,ST CLAIR AVE EAST AT DANFORTH RD,Scarborough Southwest
369,ST CLAIR AVE EAST AT ELFREDA BLVD,Scarborough Southwest
370,ST CLAIR AVE EAST AT KENNEDY RD,Scarborough Southwest
371,ST CLAIR AVE EAST AT VICTORIA PARK AVE,Beaches-East York
372,ST CLAIR AVE WEST AT BATHURST ST,Toronto-St. Paul's
373,ST CLAIR AVE WEST AT CALEDONIA RD EAST SIDE,Davenport
374,ST CLAIR AVE WEST AT CALEDONIA RD,Davenport
375,ST CLAIR AVE WEST AT GUNNS RD,York South-Weston
376,ST CLAIR AVE WEST AT LANSDOWNE AVE,Davenport
377,ST CLAIR AVE WEST AT OLD STOCK YARDS RD,York South-Weston
378,ST CLAIR AVE WEST AT RUNNYMEDE RD,York South-Weston
379,ST DENNIS DR AT LINKWOOD LANE,Don Valley East
380,STEELES AVE EAST AT BIRCHMOUNT RD WEST SIDE,outside_wards
381,STEELES AVE EAST AT BIRCHMOUNT RD,Scarborough-Agincourt
382,STEELES AVE EAST AT DUDLEY AVE,outside_wards
383,STEELES AVE EAST AT MIDDLEFIELD RD,Scarborough North
384,STEELES AVE EAST AT QUAIL VALLEY DR,outside_wards
385,STEELES AVE EAST AT WARDEN AVE,Scarborough-Agincourt
386,1750 STEELES AVE WEST,outside_wards
387,STEELES AVE WEST AT BATHURST ST EAST SIDE,Willowdale
388,STEELES AVE WEST AT HIGHWAY 27 EAST SIDE,Etobicoke North
389,STEELES AVE WEST AT ISLINGTON AVE LOOP,outside_wards
390,STEELES AVE WEST AT JANE ST,Humber River-Black Creek
391,STEELES AVE WEST AT KEELE ST EAST SIDE,York Centre
392,STEELES AVE WEST AT MARTIN GROVE RD WEST SIDE,outside_wards
393,STEELES AVE WEST AT MARTIN GROVE RD,Etobicoke North
394,STEELES AVE WEST AT VILLAGE GATE,Willowdale
395,STEELES AVE WEST AT WESTON RD,outside_wards
