,Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Fleet
60393,5/2/22,106,05:56,Monday,PIONEER VILLAGE STATIO,Operations - Operator,10,22,nan,0
60402,5/2/22,63,06:22,Monday,CANNIFF AND STRACHAN,Operations - Operator,10,18,nan,0
60419,5/2/22,7,08:18,Monday,BATHURST AND FISHERVIL,Operations - Operator,10,20,S,9009
60607,5/3/22,996,07:30,Tuesday,WILSON STATION,Operations - Operator,10,20,nan,0
60653,5/3/22,75,13:54,Tuesday,SHERBOURNE AND BLOOR,Operations - Operator,7,15,N,8541
60833,5/4/22,47,13:58,Wednesday,LANSDOWNE AND QUEEN,Operations - Operator,18,36,N,8136
61395,5/7/22,42,17:41,Saturday,MCNICOLL AND KENNEDY,Operations - Operator,10,20,W,3168
61671,5/9/22,63,20:56,Monday,EGLINTON WEST STATION,Operations - Operator,9,18,S,8327
61769,5/10/22,63,14:25,Tuesday,WILSON GARAGE,Operations - Operator,6,8,nan,8210
61991,5/11/22,96,18:52,Wednesday,WILSON AND JANE,Operations - Operator,9,18,W,3586
62277,5/13/22,97,13:22,Friday,YORK MILLS AND YONGE,Operations - Operator,60,120,S,8169
62600,5/15/22,23,12:20,Sunday,MAIN STREET STATION,Mechanical,10,20,E,8435
62615,5/15/22,7,15:08,Sunday,BATHURST STATION,Mechanical,8,15,S,8326
62633,5/15/22,39,16:53,Sunday,FINCH AND WARDEN,Mechanical,15,30,W,3157
62659,5/15/22,84,19:31,Sunday,SHEPPARD AND JANE,Operations - Operator,9,18,W,8943
62702,5/16/22,108,06:46,Monday,PIONEER VILLAGE STATIO,Operations - Operator,9,18,nan,0
62876,5/17/22,39,10:23,Tuesday,FINCH AND BALDOON,General Delay,30,60,E,3276
62903,5/17/22,59,14:27,Tuesday,LAWRENCE WEST STATION,Operations - Operator,20,40,E,8203
63982,5/26/22,985,06:42,Thursday,SCARBOROUGH CENTRE STA,Mechanical,8,20,N,9069
64145,5/27/22,984,08:09,Friday,WESTON AND BRADSTOCK,Mechanical,9,19,W,3583
64152,5/27/22,36,09:17,Friday,FINCH WEST STATION,Operations - Operator,5,10,W,3628
64166,5/27/22,902,10:46,Friday,ST CLAIR AND MIDLAND,Operations - Operator,15,30,S,3439
64258,5/27/22,102,20:26,Friday,KENNEDY STATION,General Delay,9,15,N,3438
64932,6/2/22,86,12:30,Thursday,MEADOWVALE AND EUCLID,Mechanical,12,24,S,1555
65157,6/3/22,118,17:49,Friday,WILSON STATION,Mechanical,30,60,E,8374
65491,6/6/22,32,07:30,Monday,EGLINTON AND SCOTT,Mechanical,12,24,E,1078
65518,6/6/22,101,11:56,Monday,SHEPPARD WEST STATION,Mechanical,20,40,nan,8340
65564,6/6/22,36.0,16:06,Monday,FINCH AND WESTON,Operations - Operator,6,12,E,3584
65566,6/6/22,984.0,16:15,Monday,BRADSTOCK AND WESTON,Mechanical,9,18,E,3523
65599,6/6/22,36.0,19:16,Monday,FINCH AND ALBION,Operations - Operator,6,12,E,9111
65744,6/7/22,133.0,16:54,Tuesday,MORNINGSIDE AND FINCH,Operations - Operator,8,15,S,1328
65752,6/7/22,108.0,17:26,Tuesday,SHEPPARD WEST STATION,Operations - Operator,17,34,E,3504
66110,6/10/22,54.0,05:30,Friday,EGLINTON STATION,Mechanical,15,30,N,8681
66164,6/10/22,36.0,13:55,Friday,FINCH WEST STATION,Operations - Operator,5,10,N,8943
66184,6/10/22,954.0,15:10,Friday,LAWRENCE AND STARSPRAY,Operations - Operator,12,24,W,0
66576,6/13/22,45.0,04:14,Monday,STEELES AND KIPLING LO,Operations - Operator,12,24,nan,0
66833,6/14/22,45.0,15:15,Tuesday,KIPLING STATION,Operations - Operator,16,26,N,1118
66937,6/15/22,161.0,08:09,Wednesday,OSSINGTON STATION,Operations - Operator,12,24,nan,0
67053,6/15/22,35.0,19:56,Wednesday,JANE AND TRETHEWEY,Operations - Operator,9,18,S,1054
67181,6/16/22,97.0,15:00,Thursday,DAVISVILLE STATION,Operations - Operator,30,60,N,8113
67903,6/20/22,63.0,14:56,Monday,EGLINTON WEST STATION,Operations - Operator,4,8,nan,8127
68262,6/22/22,116.0,14:09,Wednesday,MORNINGSIDE AND LAWREN,Mechanical,9,18,E,1312
68685,6/24/22,937.0,18:18,Friday,STEELES AND ISLINGTON,Mechanical,14,28,S,7963
68997,6/27/22,54.0,17:09,Monday,BRIMORTON AND ORTON PA,Operations - Operator,6,11,E,8772
69017,6/27/22,110.0,19:53,Monday,ISLINGTON AND BIRMINGH,Cleaning - Unsanitary,24,48,N,8020
69068,6/28/22,120.0,07:30,Tuesday,SHEPPARD AND ARLETA,Mechanical,30,60,E,3637
69085,6/28/22,81.0,09:34,Tuesday,PAPE AND RIVERCOURT,Operations - Operator,10,20,N,8764
69242,6/29/22,36.0,06:20,Wednesday,HUMBERWOOD LOOP,Operations - Operator,5,9,nan,0
69467,6/30/22,35.0,10:18,Thursday,JANE AND TRETHEWEY,Operations - Operator,9,18,S,1037
69561,6/30/22,95.0,17:22,Thursday,YORK MILLS AND DON MIL,Mechanical,11,22,W,3650
69588,6/30/22,41.0,18:42,Thursday,KEELE AND LAWRENCE,Cleaning - Unsanitary,8,16,N,1349
70266,7/5/22,52.0,16:17,Tuesday,PEARSON AIRPORT,Operations - Operator,17,27,W,8889
70336,7/6/22,165.0,05:19,Wednesday,WILSON STATION,Operations - Operator,15,15,E,3722
70508,7/7/22,34.0,02:40,Thursday,KENNEDY STATION,Operations - Operator,30,60,E,8793
70614,7/7/22,984.0,15:24,Thursday,SHEPPARD WEST STATION,Mechanical,9,18,W,3531
70712,7/8/22,985.0,06:30,Friday,DON MILLS STATION,Operations - Operator,9,21,nan,0
70749,7/8/22,29.0,10:23,Friday,MOUNT DENNIS GARAGE,Operations - Operator,6,12,E,9048
70837,7/8/22,25.0,15:38,Friday,PAPE STATION,Operations - Operator,6,15,N,0
70838,7/8/22,25.0,15:38,Friday,PAPE STATION,Operations - Operator,6,15,N,0
70870,7/8/22,24.0,17:23,Friday,VICTORIA PARK STATION,Operations - Operator,8,16,S,8521
70969,7/9/22,39.0,11:36,Saturday,FINCH AND BIRCHMOUNT,Operations - Operator,9,18,E,3203
71451,7/12/22,43.0,08:49,Tuesday,KENNEDY STATION,Operations - Operator,10,20,N,3213
71452,7/12/22,43.0,08:49,Tuesday,KENNEDY STATION,Operations - Operator,10,20,N,3213
71508,7/12/22,25.0,14:05,Tuesday,PAPE STATION,Operations - Operator,10,20,N,8777
71509,7/12/22,25.0,14:05,Tuesday,PAPE STATION,Operations - Operator,10,20,N,8777
71549,7/12/22,105.0,16:42,Tuesday,SHEPPARD WEST STATION,Mechanical,12,24,N,8150
71672,7/13/22,68.0,12:42,Wednesday,WARDEN AND MCNICOLL,Operations - Operator,11,22,N,3239
71679,7/13/22,70.0,13:12,Wednesday,COXWELL STATION,Operations - Operator,22,44,E,9208
71685,7/13/22,57.0,13:33,Wednesday,MIDLAND AND STEELES,Operations - Operator,15,30,N,3306
71716,7/13/22,29.0,15:11,Wednesday,DUFFERIN AND LAWRENCE,Cleaning - Unsanitary,7,14,N,9050
71735,7/13/22,54.0,15:54,Wednesday,STARSPRAY LOOP,Operations - Operator,5,11,W,8755
71747,7/13/22,75.0,16:28,Wednesday,JARVIS AND QUEENS QUAY,Operations - Operator,7,14,N,8609
71776,7/13/22,100.0,18:27,Wednesday,BROADVIEW STATION,Operations - Operator,9,18,N,8831
71862,7/14/22,34.0,10:11,Thursday,EGLINTON AND WYNFORD,Operations - Operator,15,30,W,8846
71886,7/14/22,72.0,11:58,Thursday,PAPE STATION,Operations - Operator,22,44,S,8415
71896,7/14/22,24.0,13:12,Thursday,VICTORIA PARK AND CONR,Operations - Operator,10,20,N,8548
