,stop_name,closest_station,dist
8691,BROADVIEW STATION - EASTBOUND PLATFORM,BROADVIEW STATION - EASTBOUND PLATFORM,0.0
8692,CHESTER STATION - EASTBOUND PLATFORM,CHESTER STATION - EASTBOUND PLATFORM,0.0
8693,PAPE STATION - EASTBOUND PLATFORM,PAPE STATION - EASTBOUND PLATFORM,0.0
8694,DONLANDS STATION - EASTBOUND PLATFORM,DONLANDS STATION - EASTBOUND PLATFORM,0.0
8695,GREENWOOD STATION - EASTBOUND PLATFORM,GREENWOOD STATION - EASTBOUND PLATFORM,0.0
8696,COXWELL STATION - EASTBOUND PLATFORM,COXWELL STATION - EASTBOUND PLATFORM,0.0
8697,WOODBINE STATION - EASTBOUND PLATFORM,WOODBINE STATION - EASTBOUND PLATFORM,0.0
8698,MAIN STREET STATION - EASTBOUND PLATFORM,MAIN STREET STATION - EASTBOUND PLATFORM,0.0
8699,VICTORIA PARK STATION - EASTBOUND PLATFORM,VICTORIA PARK STATION - EASTBOUND PLATFORM,0.0
8700,WARDEN STATION - EASTBOUND PLATFORM,WARDEN STATION - EASTBOUND PLATFORM,0.0
8701,KENNEDY STATION - SUBWAY PLATFORM,KENNEDY STATION - SUBWAY PLATFORM,0.0
8702,KENNEDY STATION - WESTBOUND PLATFORM,KENNEDY STATION - WESTBOUND PLATFORM,0.0
8703,WARDEN STATION - WESTBOUND PLATFORM,WARDEN STATION - WESTBOUND PLATFORM,0.0
8704,VICTORIA PARK STATION - WESTBOUND PLATFORM,VICTORIA PARK STATION - WESTBOUND PLATFORM,0.0
8705,MAIN STREET STATION - WESTBOUND PLATFORM,MAIN STREET STATION - WESTBOUND PLATFORM,0.0
8706,WOODBINE STATION - WESTBOUND PLATFORM,WOODBINE STATION - WESTBOUND PLATFORM,0.0
8707,COXWELL STATION - WESTBOUND PLATFORM,COXWELL STATION - WESTBOUND PLATFORM,0.0
8708,GREENWOOD STATION - WESTBOUND PLATFORM,GREENWOOD STATION - WESTBOUND PLATFORM,0.0
8709,DONLANDS STATION - WESTBOUND PLATFORM,DONLANDS STATION - WESTBOUND PLATFORM,0.0
8710,PAPE STATION - WESTBOUND PLATFORM,PAPE STATION - WESTBOUND PLATFORM,0.0
8711,CHESTER STATION - WESTBOUND PLATFORM,CHESTER STATION - WESTBOUND PLATFORM,0.0
8712,BROADVIEW STATION - WESTBOUND PLATFORM,BROADVIEW STATION - WESTBOUND PLATFORM,0.0
8713,CASTLE FRANK STATION - WESTBOUND PLATFORM,CASTLE FRANK STATION - WESTBOUND PLATFORM,0.0
8714,SHERBOURNE STATION - WESTBOUND PLATFORM,SHERBOURNE STATION - WESTBOUND PLATFORM,0.0
8715,YONGE STATION - WESTBOUND PLATFORM,YONGE STATION - WESTBOUND PLATFORM,0.0
8716,BAY STATION - WESTBOUND PLATFORM,BAY STATION - WESTBOUND PLATFORM,0.0
8717,ST GEORGE STATION - WESTBOUND PLATFORM,ST GEORGE STATION - WESTBOUND PLATFORM,0.0
8718,SPADINA STATION - WESTBOUND PLATFORM,SPADINA STATION - WESTBOUND PLATFORM,0.0
8719,BATHURST STATION - WESTBOUND PLATFORM,BATHURST STATION - WESTBOUND PLATFORM,0.0
8720,CHRISTIE STATION - WESTBOUND PLATFORM,CHRISTIE STATION - WESTBOUND PLATFORM,0.0
8721,OSSINGTON STATION - WESTBOUND PLATFORM,OSSINGTON STATION - WESTBOUND PLATFORM,0.0
8722,DUFFERIN STATION - WESTBOUND PLATFORM,DUFFERIN STATION - WESTBOUND PLATFORM,0.0
8723,LANSDOWNE STATION - WESTBOUND PLATFORM,LANSDOWNE STATION - WESTBOUND PLATFORM,0.0
8724,DUNDAS WEST STATION - WESTBOUND PLATFORM,DUNDAS WEST STATION - WESTBOUND PLATFORM,0.0
8725,KEELE STATION - WESTBOUND PLATFORM,KEELE STATION - WESTBOUND PLATFORM,0.0
8726,HIGH PARK STATION - WESTBOUND PLATFORM,HIGH PARK STATION - WESTBOUND PLATFORM,0.0
8727,RUNNYMEDE STATION - WESTBOUND PLATFORM,RUNNYMEDE STATION - WESTBOUND PLATFORM,0.0
8728,JANE STATION - WESTBOUND PLATFORM,JANE STATION - WESTBOUND PLATFORM,0.0
8729,OLD MILL STATION - WESTBOUND PLATFORM,OLD MILL STATION - WESTBOUND PLATFORM,0.0
8730,ROYAL YORK STATION - WESTBOUND PLATFORM,ROYAL YORK STATION - WESTBOUND PLATFORM,0.0
8731,ISLINGTON STATION - WESTBOUND PLATFORM,ISLINGTON STATION - WESTBOUND PLATFORM,0.0
8732,KIPLING STATION - SUBWAY PLATFORM,KIPLING STATION - SUBWAY PLATFORM,0.0
8733,SHEPPARD-YONGE STATION - EASTBOUND PLATFORM,SHEPPARD-YONGE STATION - EASTBOUND PLATFORM,0.0
8734,BAYVIEW STATION - EASTBOUND PLATFORM,BAYVIEW STATION - EASTBOUND PLATFORM,0.0
8735,BESSARION STATION - EASTBOUND PLATFORM,BESSARION STATION - EASTBOUND PLATFORM,0.0
8736,LESLIE STATION - EASTBOUND PLATFORM,LESLIE STATION - EASTBOUND PLATFORM,0.0
8737,DON MILLS STATION - SUBWAY PLATFORM,DON MILLS STATION - SUBWAY PLATFORM,0.0
8738,DON MILLS STATION - WESTBOUND PLATFORM,DON MILLS STATION - WESTBOUND PLATFORM,0.0
8739,LESLIE STATION - WESTBOUND PLATFORM,LESLIE STATION - WESTBOUND PLATFORM,0.0
8740,BESSARION STATION - WESTBOUND PLATFORM,BESSARION STATION - WESTBOUND PLATFORM,0.0
8741,BAYVIEW STATION - WESTBOUND PLATFORM,BAYVIEW STATION - WESTBOUND PLATFORM,0.0
